Term,Category,WordBank,Lexical_Class
spoon,household,0.72,Noun
tape,household,0.31,Noun
telephone,household,0.67,Noun
tissue/kleenex,household,0.44,Noun
toothbrush,household,0.64,Noun
towel,household,0.54,Noun
trash,household,0.41,Noun
tray,household,0.11,Noun
vacuum,household,0.44,Noun
walker,household,0.07,Noun
watch,household,0.39,Verb
basement,furniture_rooms,0.14,Noun
bathroom,furniture_rooms,0.54,Noun
bathtub,furniture_rooms,0.59,Noun
bed,furniture_rooms,0.73,Noun
bedroom,furniture_rooms,0.42,Noun
bench,furniture_rooms,0.14,Noun
chair,furniture_rooms,0.71,Noun
closet,furniture_rooms,0.32,Noun
couch,furniture_rooms,0.48,Noun
crib,furniture_rooms,0.37,Noun
door,furniture_rooms,0.71,Noun
drawer,furniture_rooms,0.27,Noun
dryer,furniture_rooms,0.21,Noun
garage,furniture_rooms,0.28,Noun
high chair,furniture_rooms,0.38,Noun
kitchen,furniture_rooms,0.5,Noun
living room,furniture_rooms,0.27,Noun
oven,furniture_rooms,0.31,Noun
play pen,furniture_rooms,0.08,Noun
porch,furniture_rooms,0.13,Noun
potty,furniture_rooms,0.66,Noun
rocking chair,furniture_rooms,0.25,Noun
refrigerator,furniture_rooms,0.37,Noun
room,furniture_rooms,0.43,Noun
shower,furniture_rooms,0.48,Noun
sink,furniture_rooms,0.4,Noun
sofa,furniture_rooms,0.18,Noun
stairs,furniture_rooms,0.45,Noun
stove,furniture_rooms,0.31,Noun
table,furniture_rooms,0.52,Noun
TV,furniture_rooms,0.63,Noun
window,furniture_rooms,0.42,Noun
washing machine,furniture_rooms,0.27,Noun
backyard,outside,0.28,Noun
cloud,outside,0.42,Noun
flag,outside,0.3,Noun
flower,outside,0.69,Noun
garden,outside,0.23,Noun
grass,outside,0.52,Noun
hose,outside,0.26,Noun
ladder,outside,0.26,Noun
lawn mower,outside,0.27,Noun
moon,outside,0.67,Noun
pool,outside,0.49,Noun
rain,outside,0.63,Noun
rock,outside,0.6,Noun
roof,outside,0.18,Noun
sandbox,outside,0.27,Noun
shovel,outside,0.38,Noun
sidewalk,outside,0.25,Noun
sky,outside,0.47,Noun
slide,outside,0.54,Verb
snow,outside,0.49,Noun
snowman,outside,0.32,Noun
sprinkler,outside,0.16,Noun
star,outside,0.6,Noun
stick,outside,0.46,Noun
stone,outside,0.17,Noun
street,outside,0.36,Noun
sun,outside,0.59,Noun
swing,outside,0.59,Verb
tree,outside,0.73,Noun
water,outside,0.71,Noun
wind,outside,0.36,Noun
beach,places,0.32,Noun
camping,places,0.1,Noun
church,places,0.25,Noun
circus,places,0.08,Noun
country,places,0.04,Noun
downtown,places,0.08,Noun
farm,places,0.27,Noun
gas station,places,0.17,Noun
home,places,0.66,Noun
house,places,0.57,Noun
movie,places,0.26,Noun
outside,places,0.69,Noun
park,places,0.59,Noun
party,places,0.35,Noun
picnic,places,0.19,Noun
playground,places,0.3,Noun
school,places,0.49,Noun
store,places,0.46,Noun
woods,places,0.09,Noun
work,places,0.47,Verb
yard,places,0.23,Noun
zoo,places,0.33,Noun
aunt,people,0.42,Noun
baby,people,0.87,Noun
babysitter,people,0.11,Noun
babysitter's name,people,0.38,Noun
boy,people,0.49,Noun
brother,people,0.31,Noun
child,people,0.15,Noun
clown,people,0.2,Noun
cowboy,people,0.11,Noun
daddy,people,0.95,Noun
doctor,people,0.4,Noun
fireman,people,0.24,Noun
friend,people,0.33,Noun
girl,people,0.44,Noun
grandma,people,0.82,Noun
grandpa,people,0.76,Noun
lady,people,0.25,Noun
mailman,people,0.17,Noun
man,people,0.36,Noun
mommy,people,0.96,Noun
nurse,people,0.08,Noun
child's own name,people,0.73,Noun
people,people,0.3,Noun
person,people,0.11,Noun
pet's name,people,0.56,Noun
police,people,0.19,Noun
sister,people,0.33,Noun
teacher,people,0.24,Noun
uncle,people,0.39,Noun
bite,action_words,0.56,Verb
blow,action_words,0.48,Verb
break,action_words,0.42,Verb
bring,action_words,0.32,Verb
build,action_words,0.29,Verb
bump,action_words,0.34,Verb
buy,action_words,0.22,Verb
carry,action_words,0.39,Verb
catch,action_words,0.38,Verb
chase,action_words,0.27,Verb
clap,action_words,0.52,Verb
clean,action_words,0.51,Adjective
climb,action_words,0.39,Verb
close,action_words,0.48,Verb
cook,action_words,0.41,Verb
cover,action_words,0.21,Verb
cry,action_words,0.52,Verb
cut,action_words,0.31,Verb
dance,action_words,0.53,Verb
draw,action_words,0.39,Verb
drink,action_words,0.61,Verb
drive,action_words,0.4,Verb
drop,action_words,0.35,Verb
dry,action_words,0.28,Adjective
dump,action_words,0.21,Verb
eat,action_words,0.73,Verb
fall,action_words,0.55,Verb
feed,action_words,0.28,Verb
find,action_words,0.37,Verb
finish,action_words,0.27,Verb
fit,action_words,0.21,Verb
fix,action_words,0.41,Verb
get,action_words,0.46,Verb
give,action_words,0.37,Verb
go,action_words,0.75,Verb
hate,action_words,0.04,Verb
have,action_words,0.36,Verb
hear,action_words,0.3,Verb
help,action_words,0.6,Verb
hide,action_words,0.41,Verb
hit,action_words,0.42,Verb
hold,action_words,0.4,Verb
hug,action_words,0.63,Verb
hurry,action_words,0.23,Verb
jump,action_words,0.59,Verb
kick,action_words,0.45,Verb
kiss,action_words,0.67,Verb
knock,action_words,0.37,Verb
lick,action_words,0.26,Verb
like,action_words,0.36,Verb
listen,action_words,0.25,Verb
look,action_words,0.49,Verb
love,action_words,0.54,Verb
make,action_words,0.28,Verb
open,action_words,0.64,Verb
paint,action_words,0.33,Verb
pick,action_words,0.22,Verb
play,action_words,0.6,Verb
pour,action_words,0.22,Verb
pretend,action_words,0.11,Verb
pull,action_words,0.33,Verb
push,action_words,0.46,Verb
put,action_words,0.3,Verb
read,action_words,0.56,Verb
ride,action_words,0.43,Verb
rip,action_words,0.14,Verb
run,action_words,0.53,Verb
say,action_words,0.28,Verb
see,action_words,0.54,Verb
shake,action_words,0.3,Verb
share,action_words,0.33,Verb
show,action_words,0.27,Verb
sing,action_words,0.46,Verb
sit,action_words,0.63,Verb
skate,action_words,0.11,Verb
sleep,action_words,0.59,Verb
slide,action_words,0.43,Verb
smile,action_words,0.3,Verb
spill,action_words,0.28,Verb
splash,action_words,0.39,Verb
stand,action_words,0.34,Verb
stay,action_words,0.32,Verb
stop,action_words,0.59,Verb
sweep,action_words,0.32,Verb
swim,action_words,0.44,Verb
swing,action_words,0.48,Verb
take,action_words,0.3,Verb
talk,action_words,0.33,Verb
taste,action_words,0.21,Verb
tear,action_words,0.14,Verb
think,action_words,0.11,Verb
throw,action_words,0.45,Verb
tickle,action_words,0.5,Verb
touch,action_words,0.34,Verb
wait,action_words,0.35,Verb
wake,action_words,0.29,Verb
walk,action_words,0.58,Verb
wash,action_words,0.51,Verb
watch,action_words,0.35,Verb
wipe,action_words,0.39,Verb
wish,action_words,0.06,Verb
work,action_words,0.38,Verb
write,action_words,0.24,Verb
all gone,descriptive_words,0.76,Adjective
