Word,Mean_Burstiness,Mean_Frequency,Log_Mean_Frequency,Lexical_Class,WordBank
turtle,0.6131395374767071,8.0,2.0794415416798357,Noun,0.59
uncle,0.7993503666183525,5.0,1.6094379124341003,Noun,0.39
under,0.11120119478229248,6.0,1.791759469228055,Function,0.29
up,0.38753055277465526,182.4,5.206202077640231,Function,0.69
us,0.11735806512095345,21.6,3.0726933146901194,Function,0.06
vanilla,-0.29885081627756754,3.0,1.0986122886681098,Noun,0.11
wait,0.16782138908719318,26.6,3.2809112157876537,Verb,0.35
wake,0.5257393836308686,4.333333333333333,1.466337068793427,Verb,0.29
walk,0.4815249386332432,25.25,3.228826155721369,Verb,0.58
walker,0.847453077294217,6.0,1.791759469228055,Noun,0.07
was,0.3379257299508088,143.4,4.96563792816552,Verb,0.09
wash,0.4431304554703912,10.8,2.379546134130174,Verb,0.51
watch,0.24818138047990018,20.6,3.0252910757955354,Verb,0.35
water,0.5117486672072233,30.6,3.4210000089583352,Noun,0.71
we,0.40790924378619825,351.2,5.861355861760962,Function,0.13
were,0.28272475655474916,51.2,3.9357395320454622,Verb,0.05
wet,0.2660890493274845,8.4,2.128231705849268,Adjective,0.57
what,0.3617933399398,313.8,5.748755840298932,Function,0.47
when,0.27102999174205555,79.0,4.3694478524670215,Function,0.07
where,0.2539251474083163,63.0,4.143134726391533,Function,0.41
which,0.27822920592411754,10.0,2.302585092994046,Function,0.06
white,0.15589641357736916,5.0,1.6094379124341003,Adjective,0.34
who,0.28301399801563754,31.8,3.459466289786131,Function,0.22
why,0.2676202166608786,60.4,4.100989104940769,Function,0.25
will,0.23630636819600745,38.6,3.653252276470785,Verb,0.09
wind,0.414213562373095,3.0,1.0986122886681098,Noun,0.36
window,0.31062223533402195,7.0,1.9459101490553132,Noun,0.42
windy,0.1989163119067981,4.5,1.5040773967762742,Adjective,0.3
wipe,0.5916386096919412,14.25,2.6567569067146595,Verb,0.39
wish,-0.0365472805159787,4.333333333333333,1.466337068793427,Verb,0.06
with,0.23607667989875028,124.0,4.820281565605037,Function,0.22
wolf,-0.20215437694422522,4.0,1.3862943611198906,Noun,0.23
work,0.2670516434440782,21.0,3.044522437723423,Verb,0.38
would,0.2716058698100169,49.6,3.903990833730882,Verb,0.04
write,0.4538124137421696,6.333333333333333,1.8458266904983307,Verb,0.24
yellow,0.05502312944297224,6.333333333333333,1.8458266904983307,Adjective,0.52
yogurt,0.6495844665425118,18.0,2.8903717578961645,Noun,0.61
you,0.5205753799002167,1407.4,7.249499309532449,Function,0.45
your,0.4200162594623805,400.0,5.991464547107982,Function,0.16
yourself,0.10166652123216882,7.4,2.0014800002101243,Function,0.04
yucky,0.8655793509567001,8.0,2.0794415416798357,Adjective,0.55
zipper,0.414213562373095,3.0,1.0986122886681098,Noun,0.46
