Word	Burstiness	Frequency	Interevent Intervals	Event Onsets	POS Tag	Transcript
would	0.14445946163174742	30	[42735, 5820, 9155, 313196, 38849, 139425, 11017, 261388, 0, 35760, 354030, 200080, 293294, 36808, 101916, 253502, 525650, 117887, 651271, 3798, 6502, 1496764, 17596, 501184, 1059348, 176677, 278020, 717821, 869477]	[671975, 714710, 720530, 729685, 1042881, 1081730, 1221155, 1232172, 1493560, 1493560, 1529320, 1883350, 2083430, 2376724, 2413532, 2515448, 2768950, 3294600, 3412487, 4063758, 4067556, 4074058, 5570822, 5588418, 6089602, 7148950, 7325627, 7603647, 8321468, 9190945]	AUX	A1
Peppa_Pig	0.6241490473303964	8	[3002900, 10595, 10050, 213152, 12463, 123436, 547916]	[650910, 3653810, 3664405, 3674455, 3887607, 3900070, 4023506, 4571422]	NOUN	A1
ah	0.6737908456450109	27	[0, 0, 0, 30425, 11272, 2003, 0, 2020, 0, 0, 2980, 0, 0, 1848, 65792, 2265, 30935, 1590, 1910, 1546, 83794, 91442, 1485568, 1517330, 3480700, 248860]	[148510, 148510, 148510, 148510, 178935, 190207, 192210, 192210, 194230, 194230, 194230, 197210, 197210, 197210, 199058, 264850, 267115, 298050, 299640, 301550, 303096, 386890, 478332, 1963900, 3481230, 6961930, 7210790]	INTJ	A1
bring	0.06123196243394113	6	[1133824, 15536, 2100278, 154190, 3195069]	[1536820, 2670644, 2686180, 4786458, 4940648, 8135717]	VERB	A1
said	0.10161373020962766	15	[409865, 872715, 2166719, 87945, 248646, 76652, 68235, 466188, 439290, 85064, 614628, 1876152, 824196, 56737]	[1154758, 1564623, 2437338, 4604057, 4692002, 4940648, 5017300, 5085535, 5551723, 5991013, 6076077, 6690705, 8566857, 9391053, 9447790]	VERB	A1
feel	0.41883431114949465	10	[4764809, 53233, 445935, 619445, 907704, 162940, 342722, 75130, 778043]	[340136, 5104945, 5158178, 5604113, 6223558, 7131262, 7294202, 7636924, 7712054, 8490097]	VERB	A1
he	0.09157859526947996	15	[1682656, 84200, 0, 0, 1857055, 279523, 878390, 13296, 437552, 722584, 540297, 3360, 2367967, 854440]	[1037214, 2719870, 2804070, 2804070, 2804070, 4661125, 4940648, 5819038, 5832334, 6269886, 6992470, 7532767, 7536127, 9904094, 10758534]	PRON	A1
wait	-0.033810870211347495	13	[173194, 942902, 0, 520812, 2620916, 364719, 467590, 1345660, 436404, 910284, 956031, 378299]	[1842090, 2015284, 2958186, 2958186, 3478998, 6099914, 6464633, 6932223, 8277883, 8714287, 9624571, 10580602, 10958901]	VERB	A1
goes	-0.7397607108363079	4	[2857668, 3539939, 2224005]	[604575, 3462243, 7002182, 9226187]	VERB	A1
upstairs	0.9183678693262526	9	[9056, 4020896, 3050, 7025, 6480, 39755, 8678, 1467]	[4088130, 4097186, 8118082, 8121132, 8128157, 8134637, 8174392, 8183070, 8184537]	ADV	A1
yellow	-0.9079505965319288	3	[900, 790]	[1369603, 1370503, 1371293]	ADJ	A1
little	0.05741904559019871	32	[320754, 2887, 127047, 300263, 573764, 4890, 35340, 72579, 136406, 81767, 1254422, 769848, 992275, 74005, 137690, 5690, 449066, 403650, 126044, 22013, 430335, 242345, 112367, 122637, 481273, 344080, 3354, 311020, 575288, 195935, 1292556]	[891455, 1212209, 1215096, 1342143, 1642406, 2216170, 2221060, 2256400, 2328979, 2465385, 2547152, 3801574, 4571422, 5563697, 5637702, 5775392, 5781082, 6230148, 6633798, 6759842, 6781855, 7212190, 7454535, 7566902, 7689539, 8170812, 8514892, 8518246, 8829266, 9404554, 9600489, 10893045]	ADJ	A1
every	0.13146787547315736	7	[1979577, 2474998, 66424, 856468, 275664, 0]	[1568603, 3548180, 6023178, 6089602, 6946070, 7221734, 7221734]	PRON	A1
friends	0.20293229679892844	9	[572478, 3193814, 23826, 3239216, 1397504, 363493, 71578, 4806]	[2130112, 2702590, 5896404, 5920230, 9159446, 10556950, 10920443, 10992021, 10996827]	NOUN	A1
top	0.2993869886861486	9	[117859, 1161628, 21320, 124100, 305656, 2749612, 3648775, 0]	[1097237, 1215096, 2376724, 2398044, 2522144, 2827800, 5577412, 9226187, 9226187]	ADJ	A1
rough	0.7966284378521792	8	[154886, 3589, 2950, 6312, 1570378, 5499, 12260]	[305496, 460382, 463971, 466921, 473233, 2043611, 2049110, 2061370]	ADJ	A1
ice	0.6987584479558149	5	[37009, 8085, 226695, 4122210]	[1215096, 1252105, 1260190, 1486885, 5609095]	NOUN	A1
clock	-0.8905970015431766	3	[577900, 494908]	[3259634, 3837534, 4332442]	NOUN	A1
